distance,depth,length,width
3587.00,14,10,33
3587.01,14,13,16
3587.01,10,9,15
3587.11,10,15,15
3587.63,10,14,15
3587.72,11,10,15
3589.51,10,9,16
3590.16,11,11,15
3590.23,11,13,15
3590.32,10,19,15
3590.64,11,23,15
3590.95,13,14,15
3591.72,10,11,15
3592.45,14,19,40
3592.45,10,10,15
3592.46,10,8,15
3592.50,19,11,15
3592.51,15,9,15
3592.52,10,10,15
3592.53,14,13,30
3592.56,11,11,17
3592.62,10,14,30
3592.69,16,13,33
3592.74,10,12,20
3592.85,10,11,18
3592.98,13,28,15
3593.01,11,12,15
3593.02,12,24,28
3593.03,14,12,15
3593.06,13,10,15
3593.13,10,10,15
3593.18,13,13,16
3593.19,10,9,20
3593.24,15,9,15
3593.36,10,9,15
3593.40,12,12,15
3593.47,11,11,15
3593.47,13,16,15
3593.49,20,10,38
3593.49,11,10,15
3593.52,12,10,15
3593.57,10,10,24
3593.64,11,10,15
3593.73,11,12,31
3593.74,11,9,15
3593.80,10,9,15
3594.00,14,10,27
3594.13,11,11,15
3594.20,12,10,15
3594.42,17,11,31
3594.49,11,10,15
3594.61,19,13,15
3594.84,11,12,33
3595.05,10,13,31
3595.13,15,12,15
3595.26,11,13,15
3595.33,12,21,33
3596.95,10,9,15
3597.02,10,9,15
3598.26,10,9,15
3604.79,16,9,15
3604.83,11,14,31
3604.84,10,10,15
3604.84,10,10,15
3604.87,15,9,15
3604.92,16,14,32
3605.00,11,11,24
3605.06,11,11,15
3605.07,10,14,17
3605.12,15,9,15
3605.12,16,12,16
3605.12,10,9,15
3605.13,13,12,15
3605.19,19,12,15
3605.25,10,11,15
3605.25,10,12,15
3605.35,10,10,15
3605.52,16,10,15
3605.59,11,14,32
3605.74,10,15,15
3605.96,11,10,15
3606.09,13,9,15
3606.15,11,11,15
3606.41,10,10,15
3606.88,10,12,15
3606.97,10,13,15
3607.21,11,14,15
3607.58,13,12,22
3608.24,10,11,15
3608.26,10,10,15
3608.66,10,10,15
3608.78,15,10,15
3609.98,13,10,15
3610.06,11,12,15
3610.70,11,9,15
3610.84,12,10,18
3610.92,13,11,15
3611.33,13,11,19
3611.96,10,23,15
3612.07,18,16,36
3612.50,14,12,15
3612.70,10,13,15
3613.05,19,15,34
3613.74,10,27,21
3616.69,10,12,15
3616.78,10,11,15
3616.82,12,11,15
3616.82,11,11,15
3616.88,13,11,15
3616.90,11,9,15
3616.92,12,11,15
3616.93,16,12,32
3616.97,14,15,28
3616.99,10,9,15
3616.99,11,14,15
3617.02,10,9,15
3617.04,10,10,15
3617.08,12,10,16
3617.09,15,13,28
3617.11,15,15,32
3617.20,13,11,15
3617.20,12,13,31
3617.26,16,11,15
3617.31,13,14,28
3617.35,11,9,16
3617.41,11,10,15
3617.49,15,14,35
3617.51,15,10,16
3617.52,12,12,17
3617.55,13,10,15
3617.63,12,11,15
3617.74,10,11,17
3618.01,16,11,34
3618.02,11,11,29
3618.06,10,14,21
3618.07,10,10,22
3618.09,14,9,15
3618.12,13,9,15
3618.15,10,8,15
3618.19,12,10,26
3618.23,10,8,15
3618.25,11,11,27
3618.26,12,8,15
